ds,y
2019-07-11,16.944
2019-07-12,16.941
2019-07-13,16.929
2019-07-14,17.27
2019-07-15,17.217
2019-07-16,17.209
2019-07-17,17.197
2019-07-18,17.219
2019-07-19,17.019
2019-07-20,17.012
2019-07-21,16.985
2019-07-22,17.25
2019-07-23,17.219
2019-07-24,17.019
2019-07-25,16.967
2019-07-26,16.567
2019-07-27,16.538
2019-07-28,16.39
2019-07-29,16.365
2019-07-30,16.265
2019-07-31,16.132
2019-08-01,15.87
2019-08-02,15.546
2019-08-03,15.345
2019-08-04,14.389
2019-08-05,13.869
2019-08-06,12.578
2019-08-07,12.329
2019-08-08,12.337
2019-08-09,11.571
2019-08-10,11.512
2019-08-11,12.843
2019-08-12,12.976
2019-08-13,13.376
2019-08-14,13.563
2019-08-15,14.457
2019-08-16,14.43
2019-08-17,14.543
2019-08-18,14.675
2019-08-19,15.613
2019-08-20,15.145
2019-08-21,14.345
2019-08-22,14.34
2019-08-23,14.279
2019-08-24,14.108
2019-08-25,14.059
2019-08-26,14.043
2019-08-27,13.99
2019-08-28,13.847
2019-08-29,13.837
2019-08-30,13.765
2019-08-31,13.687
2019-09-01,13.879
2019-09-02,14.001
2019-09-03,14.056
2019-09-04,14.109
2019-09-05,14.156
2019-09-06,14.178
2019-09-07,14.176
2019-09-08,14.067
2019-09-09,13.983
2019-09-10,13.989
2019-09-11,13.998
2019-09-12,14.01
2019-09-13,14.024
2019-09-14,14.041
2019-09-15,14.061
2019-09-16,14.083
2019-09-17,14.108
2019-09-18,14.135
2019-09-19,14.567
2019-09-20,14.647
2019-09-21,15.098
2019-09-22,15.19
2019-09-23,15.001
2019-09-24,14.98
2019-09-25,14.786
2019-09-26,14.422
2019-09-27,14.465
2019-09-28,14.435
2019-09-29,14.401
2019-09-30,14.397
2019-10-01,14.378
2019-10-02,14.434
2019-10-03,14.564
2019-10-04,14.792
2019-10-05,14.843
2019-10-06,14.895
2019-10-07,14.948
2019-10-08,15.238
2019-10-09,15.267
2019-10-10,15.286
2019-10-11,15.326
2019-10-12,15.339
2019-10-13,15.356
2019-10-14,15.362
2019-10-15,15.357
2019-10-16,15.329
2019-10-17,15.316
2019-10-18,15.298
2019-10-19,15.276
2019-10-20,15.34
2019-10-21,15.654
2019-10-22,15.968
2019-10-23,16.106
2019-10-24,16.127
2019-10-25,16.23
2019-10-26,16.245
2019-10-27,16.249
2019-10-28,16.345
2019-10-29,16.365
2019-10-30,16.83
2019-10-31,16.828
2019-11-01,16.73
2019-11-02,16.729
2019-11-03,16.639
2019-11-04,16.54
2019-11-05,16.557
2019-11-06,16.569
2019-11-07,16.576
2019-11-08,16.678
2019-11-09,16.745
2019-11-10,16.876
2019-11-11,17.109
2019-11-12,17.129
2019-11-13,17.135
2019-11-14,17.13
2019-11-15,17.087
2019-11-16,17.001
2019-11-17,16.999
2019-11-18,16.876
2019-11-19,16.816
2019-11-20,16.765
2019-11-21,16.545
2019-11-22,16.351
2019-11-23,16.347
2019-11-24,16.349
2019-11-25,16.357
2019-11-26,16.372
2019-11-27,16.259
2019-11-28,16.187
2019-11-29,16.1
2019-11-30,16.326
2019-12-01,16.456
2019-12-02,16.62
2019-12-03,16.587
2019-12-04,16.513
2019-12-05,16.698
2019-12-06,16.62
2019-12-07,16.598
2019-12-08,16.567
2019-12-09,16.476
2019-12-10,16.498
2019-12-11,16.653
2019-12-12,16.785
2019-12-13,17.577
2019-12-14,17.665
2019-12-15,17.748
2019-12-16,17.826
2019-12-17,18.209
2019-12-18,18.106
2019-12-19,18.014
2019-12-20,18.059
2019-12-21,18.094
2019-12-22,18.118
2019-12-23,18.245
2019-12-24,18.789
2019-12-25,18.765
2019-12-26,18.643
2019-12-27,18.62
2019-12-28,18.635
2019-12-29,18.654
2019-12-30,18.896
2019-12-31,18.765
2020-01-01,18.38
2020-01-02,18.29
2020-01-03,18.127
2020-01-04,17.557
2020-01-05,17.469
2020-01-06,17.381
2020-01-07,17.292
2020-01-08,17.204
2020-01-09,16.389
2020-01-10,16.237
2020-01-11,16.187
2020-01-12,16.186
2020-01-13,16.1
2020-01-14,16.189
2020-01-15,16.298
2020-01-16,16.376
2020-01-17,16.576
2020-01-18,16.532
2020-01-19,16.492
2020-01-20,16.458
2020-01-21,16.546
2020-01-22,16.4
2020-01-23,16.267
2020-01-24,16.256
2020-01-25,16.24
2020-01-26,16.315
2020-01-27,16.296
2020-01-28,16.276
2020-01-29,16.255
2020-01-30,16.328
2020-01-31,16.387
2020-02-01,16.39
2020-02-02,16.396
2020-02-03,16.409
2020-02-04,16.41
2020-02-05,16.38
2020-02-06,16.371
2020-02-07,15.953
2020-02-08,15.906
2020-02-09,15.859
2020-02-10,15.689
2020-02-11,15.509
2020-02-12,15.567
2020-02-13,15.669
2020-02-14,15.625
2020-02-15,15.585
2020-02-16,15.549
2020-02-17,15.518
2020-02-18,15.492
2020-02-19,15.473
2020-02-20,15.46
2020-02-21,16.254
2020-02-22,16.25
2020-02-23,16.245
2020-02-24,16.35
2020-02-25,16.289
2020-02-26,16.237
2020-02-27,16.045
2020-02-28,15.457
2020-02-29,15.398
2020-03-01,15.345
2020-03-02,15.456
2020-03-03,15.58
2020-03-04,15.543
2020-03-05,15.516
2020-03-06,15.52
2020-03-07,15.534
2020-03-08,15.568
2020-03-09,15.765
2020-03-10,15.754
2020-03-11,15.732
2020-03-12,15.623
2020-03-13,15.698
2020-03-14,15.768
2020-03-15,15.821
2020-03-16,16.056
2020-03-17,16.277
2020-03-18,16.365
2020-03-19,16.326
2020-03-20,16.317
2020-03-21,15.335
2020-03-22,14.004
2020-03-23,12.934
2020-03-24,11.9
2020-03-25,11.846
2020-03-26,11.836
2020-03-27,11.82
2020-03-28,11.845
2020-03-29,11.683
2020-03-30,11.589
2020-03-31,11.53
2020-04-01,11.524
2020-04-02,11.509
2020-04-03,11.519
2020-04-04,11.631
2020-04-05,11.734
2020-04-06,11.721
2020-04-07,11.839
